state,district,category,type,date,crimes
Johor,All,assault,robbery_solo_unarmed,2018-01-01,330
Johor,All,assault,robbery_solo_unarmed,2019-01-01,328
Johor,All,assault,robbery_solo_unarmed,2020-01-01,479
Johor,All,assault,robbery_solo_unarmed,2021-01-01,138
Johor,All,assault,robbery_solo_unarmed,2022-01-01,193
Johor,All,property,all,2016-01-01,10121
Johor,All,property,all,2017-01-01,8729
Johor,All,property,all,2018-01-01,8458
Johor,All,property,all,2019-01-01,7947
Johor,All,property,all,2020-01-01,5966
Johor,All,property,all,2021-01-01,3440
Johor,All,property,all,2022-01-01,3489
Johor,All,property,break_in,2016-01-01,1475
Johor,All,property,break_in,2017-01-01,1211
Johor,All,property,break_in,2018-01-01,1239
Johor,All,property,break_in,2019-01-01,1364
Johor,All,property,break_in,2020-01-01,1273
Johor,All,property,break_in,2021-01-01,883
Johor,All,property,break_in,2022-01-01,767
Johor,All,property,theft_other,2016-01-01,2117
Johor,All,property,theft_other,2017-01-01,2043
Johor,All,property,theft_other,2018-01-01,2025
Johor,All,property,theft_other,2019-01-01,1912
Johor,All,property,theft_other,2020-01-01,1403
Johor,All,property,theft_other,2021-01-01,942
Johor,All,property,theft_other,2022-01-01,1041
Johor,All,property,theft_vehicle_lorry,2016-01-01,400
Johor,All,property,theft_vehicle_lorry,2017-01-01,274
Johor,All,property,theft_vehicle_lorry,2018-01-01,278
Johor,All,property,theft_vehicle_lorry,2019-01-01,219
Johor,All,property,theft_vehicle_lorry,2020-01-01,141
Johor,All,property,theft_vehicle_lorry,2021-01-01,71
Johor,All,property,theft_vehicle_lorry,2022-01-01,73
Johor,All,property,theft_vehicle_motorcar,2016-01-01,1443
Johor,All,property,theft_vehicle_motorcar,2017-01-01,1097
Johor,All,property,theft_vehicle_motorcar,2018-01-01,1035
Johor,All,property,theft_vehicle_motorcar,2019-01-01,981
Johor,All,property,theft_vehicle_motorcar,2020-01-01,802
Johor,All,property,theft_vehicle_motorcar,2021-01-01,400
Johor,All,property,theft_vehicle_motorcar,2022-01-01,429
Johor,All,property,theft_vehicle_motorcycle,2016-01-01,4686
Johor,All,property,theft_vehicle_motorcycle,2017-01-01,4104
Johor,All,property,theft_vehicle_motorcycle,2018-01-01,3881
Johor,All,property,theft_vehicle_motorcycle,2019-01-01,3471
Johor,All,property,theft_vehicle_motorcycle,2020-01-01,2347
Johor,All,property,theft_vehicle_motorcycle,2021-01-01,1144
Johor,All,property,theft_vehicle_motorcycle,2022-01-01,1179
Johor,Batu Pahat,assault,all,2016-01-01,160
Johor,Batu Pahat,assault,all,2017-01-01,123
Johor,Batu Pahat,assault,all,2018-01-01,104
Johor,Batu Pahat,assault,all,2019-01-01,139
Johor,Batu Pahat,assault,all,2020-01-01,127
Johor,Batu Pahat,assault,all,2021-01-01,60
Johor,Batu Pahat,assault,all,2022-01-01,52
Johor,Batu Pahat,assault,causing_injury,2016-01-01,39
Johor,Batu Pahat,assault,causing_injury,2017-01-01,41
Johor,Batu Pahat,assault,causing_injury,2018-01-01,28
Johor,Batu Pahat,assault,causing_injury,2019-01-01,41
Johor,Batu Pahat,assault,causing_injury,2020-01-01,43
Johor,Batu Pahat,assault,causing_injury,2021-01-01,22
Johor,Batu Pahat,assault,causing_injury,2022-01-01,19
Johor,Batu Pahat,assault,murder,2016-01-01,6
Johor,Batu Pahat,assault,murder,2017-01-01,0
Johor,Batu Pahat,assault,murder,2018-01-01,3
Johor,Batu Pahat,assault,murder,2019-01-01,3
Johor,Batu Pahat,assault,murder,2020-01-01,3
Johor,Batu Pahat,assault,murder,2021-01-01,0
Johor,Batu Pahat,assault,murder,2022-01-01,3
Johor,Batu Pahat,assault,rape,2016-01-01,29
Johor,Batu Pahat,assault,rape,2017-01-01,23
Johor,Batu Pahat,assault,rape,2018-01-01,13
Johor,Batu Pahat,assault,rape,2019-01-01,29
Johor,Batu Pahat,assault,rape,2020-01-01,16
Johor,Batu Pahat,assault,rape,2021-01-01,18
Johor,Batu Pahat,assault,rape,2022-01-01,13
Johor,Batu Pahat,assault,robbery_gang_armed,2016-01-01,1
Johor,Batu Pahat,assault,robbery_gang_armed,2017-01-01,0
Johor,Batu Pahat,assault,robbery_gang_armed,2018-01-01,0
Johor,Batu Pahat,assault,robbery_gang_armed,2019-01-01,0
Johor,Batu Pahat,assault,robbery_gang_armed,2020-01-01,0
Johor,Batu Pahat,assault,robbery_gang_armed,2021-01-01,0
